State,Year,Adult.Obesity,Adult.Obesity*100,Average.Age,Average.Income,Population,Poverty.Rate,Poverty.Rate*100,Real.GDP,Real.GDP.Growth,Real.GDP.Growth*100,Real.Personal.Income,Region,Region.Encoding,Unit,Real.GDP.Per.Capita,YearFE
Missouri,2014,0.31099999,31.1,38.64240419,26310.03187,6063589,0.154563848,15.46,272773.5,0.0032,0.32,274322,Plains Region,4,Millions of chained 2012 dollars,0.044985486,2014
Missouri,2015,0.308999985,30.9,38.79833988,27604.69075,6083672,0.148339528,14.83,275819.3,0.0112,1.12,284047.2,Plains Region,4,Millions of chained 2012 dollars,0.045337635,2015
Missouri,2016,0.305999994,30.6,38.9554968,28626.55074,6093000,0.139899916,13.99,273206.1,-0.0095,-0.95,290712.6,Plains Region,4,Millions of chained 2012 dollars,0.04483934,2016
Missouri,2017,0.307999998,30.8,39.10425708,29469.19863,6113532,0.13422111,13.42,275783.3,0.0094,0.94,295937,Plains Region,4,Millions of chained 2012 dollars,0.045110306,2017
Montana,2014,0.245000005,24.5,39.64519299,26286.21713,1023579,0.154269945,15.43,43092.3,0.0155,1.55,44031,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.042099633,2014
Montana,2015,0.245000005,24.5,39.91916542,27950.72937,1032949,0.14615764,14.62,44724,0.0379,3.79,45828.7,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.043297394,2015
Montana,2016,0.246000007,24.6,40.02349787,28226.38732,1042520,0.133225944,13.32,44213.1,-0.0114,-1.14,46614.1,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.042409834,2016
Montana,2017,0.25,25,40.09068314,29906.44047,1050493,0.124719745,12.47,44396.1,0.0041,0.41,47795.5,Rocky Mountain Region,7,Millions of chained 2012 dollars,0.042262157,2017
Nebraska,2014,0.293000013,29.3,37.41860151,27479.45526,1881503,0.124340785,12.43,107132,0.0199,1.99,98990.8,Plains Region,4,Millions of chained 2012 dollars,0.056939585,2014
Nebraska,2015,0.291999996,29.2,37.5146056,29119.01114,1896190,0.125534954,12.55,109672.8,0.0237,2.37,103197.5,Plains Region,4,Millions of chained 2012 dollars,0.057838508,2015
Nebraska,2016,0.294999987,29.5,37.68315614,30027.04062,1907116,0.114232911,11.42,110225.5,0.005,0.5,101468.4,Plains Region,4,Millions of chained 2012 dollars,0.057796956,2016
Nebraska,2017,0.298000008,29.8,37.77876032,30542.17237,1920076,0.10772381,10.77,110526.4,0.0027,0.27,102684,Plains Region,4,Millions of chained 2012 dollars,0.057563555,2017
Nevada,2014,0.25,25,37.79461195,26015.31508,2839099,0.152361781,15.24,129659.7,0.0108,1.08,116809.7,Far West Region,8,Millions of chained 2012 dollars,0.045669313,2014
Nevada,2015,0.246999994,24.7,38.05940063,26822.81968,2890845,0.14672763,14.67,135100.4,0.042,4.2,126356.6,Far West Region,8,Millions of chained 2012 dollars,0.046733879,2015
Nevada,2016,0.254000008,25.4,38.22957608,28181.59866,2940058,0.137878993,13.79,138283.7,0.0236,2.36,130357.9,Far West Region,8,Millions of chained 2012 dollars,0.047034344,2016
Nevada,2017,0.268000007,26.8,38.42926326,30117.40331,2998039,0.130021572,13.00,141709.2,0.0248,2.48,135398.9,Far West Region,8,Millions of chained 2012 dollars,0.047267297,2017
